CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,1.932693380405518,0.7731992632922094,2.1374064193822613,0.0,2.1374064193822613,0.0,0.3926206382011817,0.0,0.2829176558314829,0.0,0.0,1.0481470739682048,2.628451022810815,2.3048276611925567,2.2237979100428076,0.0,1.6015459273656616
C10002,2.8411246135381476,0.8041313403568467,0.0,0.0,0.0,2.961569901951183,0.0,0.0,0.0,0.47238072707743883,1.2686362411795196,0.0,2.9755349561007005,2.8843934075569257,2.6416908909264567,0.4479626252757621,1.6015459273656616
C10003,2.796874035049714,0.8325546111576977,2.579106722823946,2.579106722823946,0.0,0.0,0.8325546111576977,0.8325546111576977,0.0,0.0,0.0,1.6015459273656616,2.9871042204733396,2.536661909491585,2.538305250784501,0.0,1.6015459273656616
C10004,2.7238177337375404,0.7017668468373179,2.7042966529377472,2.7042966529377472,0.0,2.3090461658618113,0.2829176558314829,0.2829176558314829,0.0,0.2829176558314829,0.8325546111576977,0.8325546111576977,2.9871042204733396,0.0,2.397353011015796,0.0,1.6015459273656616
C10005,2.5899295792927153,0.8325546111576977,1.6832151805566085,1.6832151805566085,0.0,0.0,0.2829176558314829,0.2829176558314829,0.0,0.0,0.0,0.8325546111576977,2.662876231085475,2.5536472014799885,2.346163367193492,0.0,1.6015459273656616
C10006,2.7388939177975584,0.8325546111576977,2.682563531307909,0.0,2.682563531307909,0.0,0.7147208012685587,0.0,0.6778879840003821,0.0,0.0,1.4823038073675112,2.737900170783434,2.691650568019396,2.7904576641140117,0.0,1.6015459273656616
C10007,2.538297732031243,0.8325546111576977,2.977704497970305,2.9605101411847468,2.5565196347628496,0.0,0.8325546111576977,0.8325546111576977,0.8325546111576977,0.0,0.0,2.043131730920852,3.083912942311642,2.959230752058165,2.3007902763056527,0.8325546111576977,1.6015459273656616
C10008,2.7402819143480937,0.8325546111576977,2.46584483621788,0.0,2.46584483621788,0.0,0.8325546111576977,0.0,0.8325546111576977,0.0,0.0,1.6015459273656616,2.782283071514357,2.5538575728520736,2.5057105166478224,0.0,1.6015459273656616
C10009,2.6312651436951713,0.8325546111576977,2.5999660679776966,2.5487262433236793,2.302890554945909,0.0,0.5363597882501536,0.2829176558314829,0.47238072707743883,0.0,0.0,1.3385661990458504,2.9755349561007005,2.556490856035991,2.3970995556198695,0.0,1.6015459273656616
C10010,2.2431927675843943,0.6597866059381998,2.6751905626917054,2.6751905626917054,0.0,0.0,0.3926206382011817,0.3926206382011817,0.0,0.0,0.0,1.1774100225154747,3.050531340068388,2.65728011298006,2.1489785342620467,0.0,1.6015459273656616
